video,seconds,fps,numFrame,rfps,subset,featureFrame
SMN6WFVy-Ys,12,30,360,30,training,360
Di4eEBZjkA4,1,24,24,24,training,24
OT88wS6FLoQ,10,30,300,30,validation,300
BF0bymdQtq8,16,30,480,30,validation,480
wWeOg3z47Ps,17,30,510,30,training,510
lyngREOwOms,1,30,30,30,training,30
NhiwdXDrWGQ,11,29,319,29,training,319
dXTXKZMdlHM,1,30,30,30,training,30
iuxmA5qwwik,15,10,150,10,training,150
xlGeMfpGsfo,21,29,609,29,training,609
hLgP-zJVq88,1,30,30,30,training,30
f_Yz-JN2bLs,9,23,207,23,training,207
HJUqQfyXto8,7,30,210,30,training,210
BG8eixpUs-M,99,30,2970,30,training,2970
GfUkEf9KpLk,12,30,360,30,validation,360
75XX9onQAOI,43,10,430,10,validation,430
6yjOwZSPpIc,4,29,116,29,validation,116
I9EXYNaRkGw,76,30,2280,30,training,2280
IPSNiTTmAlk,10,25,250,25,training,250
_ZBxKLUNv28,10,30,300,30,training,300
efWPIzNWZXo,10,25,250,25,validation,250
mQ6weaBzZkg,10,29,290,29,training,290
6v6IL66plaU,10,25,250,25,training,250
dlgbRr7hNww,10,30,300,30,training,300
FKrwI3g0GhQ,9,29,261,29,validation,261
TjlYOBqDmps,15,30,450,30,training,450
lOCHsipaBKg,100,29,2900,29,training,2900
lExjyBjJY5A,10,23,230,23,training,230
hSDIxK5QfK8,10,23,230,23,training,230
_361uf9pdoE,10,29,290,29,training,290
rZqn1mRtI7w,10,29,290,29,training,290
kwYj7eBdF50,19,30,570,30,training,570
azPuR96TkBc,15,29,435,29,validation,435
YpQKPABcY48,30,30,900,30,training,900
-SdUC1ddsz8,10,30,300,30,training,300
6KlDo88q7Hg,10,30,300,30,training,300
Yska_2iLPvE,10,29,290,29,validation,290
9NWbHENShYE,10,30,300,30,training,300
irYUeIiGYUY,10,30,300,30,testing,300
JapllEWAo20,10,30,300,30,validation,300
0tCyf7tnKFE,9,30,270,30,training,270
9kH5CHMh9G8,10,29,290,29,training,290
IboAktkZQNk,18,29,522,29,training,522
sRhwO54lMrw,19,29,551,29,validation,551
9hjI0MH-5oE,10,30,300,30,validation,300
NVYhUpUEk38,10,30,300,30,training,300
q0ojFaPl-rw,10,30,300,30,training,300
aJgg07mATOs,10,15,150,15,testing,150
gYe48TB-10U,10,30,300,30,training,300
26usXbTwfgw,10,30,300,30,validation,300
iqfosnR8oVI,9,30,270,30,training,270
xpI3Brb3jew,10,29,290,29,validation,290
u9VBJvMklm4,13,11,143,11,training,143
u3sV2UbwxY0,116,30,3480,30,training,3480
ByrlmnwLHjc,12,30,360,30,training,360
l_mHNASZlUo,11,25,275,25,training,275
wxMMBKrQtyk,23,24,552,24,training,552
Mv-d08M6V-o,37,29,1073,29,training,1073
uicdiyd51Qo,10,30,300,30,training,300
ohZ8LeISE2g,10,30,300,30,training,300
hJvDZ27nX8U,10,30,300,30,training,300
0JZlOKXX798,10,30,300,30,training,300
qvMr7T7nKxE,10,28,280,28,training,280
QcrSlbN15jM,10,20,200,20,training,200
edirw2-9mKg,17,29,493,29,validation,493
GTV5sHREoyE,10,30,300,30,training,300
uAIMv_8QZUU,10,20,200,20,training,200
csf80gL7maw,10,30,300,30,training,300
FC4G0ad3KKo,10,30,300,30,training,300
Yaw295Guvfw,10,30,300,30,training,300
WYIZt98dvpI,12,30,360,30,training,360
U-BhEqGeeeg,383,30,11490,30,training,11490
V58OpCHaGNU,10,14,140,14,testing,140
GgwSOngIqsE,10,30,300,30,training,300
0GPM_6S5New,10,30,300,30,training,300
k20VW4o1tO8,10,24,240,24,validation,240
H-pTe9F8g14,10,30,300,30,training,300
EACywMMCeFc,40,25,1000,25,testing,1000
wGeD-ijZHPM,34,29,986,29,training,986
MUABlh_t9YI,16,29,464,29,validation,464
CudN3V1DBMs,39,29,1131,29,testing,1131
fFqk6awst8U,10,25,250,25,testing,250
SNW_YjIzC_c,10,10,100,10,training,100
I-bqJSYTm7g,10,30,300,30,training,300
KMs-T8JiJ9U,10,30,300,30,training,300
ycIZiKSDnBc,10,30,300,30,validation,300
uvypOvwo6tE,10,10,100,10,training,100
LQdMfdmkahc,10,10,100,10,testing,100
DfzEEMWP9rU,10,30,300,30,testing,300
zbWo2PMiLTg,10,28,280,28,training,280
2ET7xwbSgUg,10,30,300,30,training,300
7U_TZaA0UE4,14,29,406,29,validation,406
vJXjGLiaHsQ,11,25,275,25,training,275
x-qecN_E_qQ,10,30,300,30,validation,300
zAQITq_YdH0,10,29,290,29,training,290
O3y7A3l4GzA,10,24,240,24,training,240
Xfw0aSQJw_s,56,29,1624,29,training,1624
fH7fQq339hc,11,29,319,29,validation,319
6ZbWNocZVKY,10,30,300,30,training,300
3OLr3ar-igw,17,29,493,29,training,493
i8BDV1GTyqA,19,24,456,24,training,456
Y-BrCELyh14,10,24,240,24,training,240
II07pw-iMNE,10,25,250,25,training,250
nbTe1NQUQ2A,11,30,330,30,training,330
3BK9cPolql8,16,29,464,29,training,464
IfmPmHEAxc4,11,19,209,19,training,209
R1bqbBNUofo,10,20,200,20,training,200
FwjVcxrLUXE,10,29,290,29,training,290
n_mXJxwr4nY,128,30,3840,30,validation,3840
B2Nvss6-Fvg,9,30,270,30,training,270
TNtLWlkCK98,192,25,4800,25,training,4800
gTd9zKFWHLY,60,29,1740,29,training,1740
DFe8t-wWH50,18,30,540,30,validation,540
7lup9EkNClY,25,29,725,29,training,725
EA17FV1XeJw,10,30,300,30,validation,300
FAgDMtr8wIo,52,29,1508,29,training,1508
KKpH3Sphk4M,19,30,570,30,training,570
yn6RY7cBNOs,10,24,240,24,testing,240
xI2xCPo1c0k,10,30,300,30,training,300
jknAVnCELOk,10,30,300,30,training,300
hqxWzBgom88,37,29,1073,29,validation,1073
qZU_5GHwx1U,10,30,300,30,training,300
UGiyPMmtMBw,10,30,300,30,training,300
_DL1q-XQc7E,11,30,330,30,training,330
FSuNQE36u9c,27,29,783,29,training,783
Ey2syxlV50I,13,30,390,30,validation,390
_h_Yu4exmDo,20,30,600,30,training,600
eZM7ZxVQDnI,10,24,240,24,training,240
I2rptpuQIxY,10,30,300,30,validation,300
HOpxVQg85XA,10,29,290,29,training,290
ZE9o84Q-GTY,10,25,250,25,validation,250
l1WA5kvhqLA,10,30,300,30,validation,300
GbosJV9yp44,10,29,290,29,training,290
vcw-vQVyZsM,10,30,300,30,validation,300
hF5QCnQG08o,10,30,300,30,training,300
HCkucujdBjc,10,30,300,30,training,300
Ya2kn-A5AEw,11,29,319,29,training,319
QpRMxyQsMvI,10,29,290,29,training,290
Bue-3GRHjvg,10,29,290,29,training,290
WscM7fCZR4A,10,30,300,30,training,300
I8AlvZT7rvo,10,29,290,29,training,290
YsubBUslV10,10,30,300,30,training,300
dQgNze6PYJw,37,30,1110,30,training,1110
mMBJJicVgZg,11,30,330,30,training,330
-k-B4s7idPo,10,29,290,29,training,290
IxktOWvTeh4,10,30,300,30,training,300
kRgaUA6dywM,10,29,290,29,training,290
eSrpNwZUeQY,77,30,2310,30,training,2310
lofaNlFeXAM,92,29,2668,29,validation,2668
Su105JQwCQE,7,20,140,20,training,140
TCld95KNQBI,10,29,290,29,training,290
l7vk4E7yXKQ,10,25,250,25,validation,250
VpRYqf9hEKM,12,24,288,24,validation,288
oPTxX3ofaT4,149,30,4470,30,validation,4470
2yhnCA6qaJc,10,30,300,30,training,300
HQtWbLHCRG0,10,29,290,29,training,290
KByQeB_HkRY,10,30,300,30,training,300
3IjfM_MlMig,10,30,300,30,training,300
HfgPYYgUfNA,10,29,290,29,training,290
nk2U8OkISPw,16,25,400,25,training,400
7YPL20RgKxQ,18,25,450,25,testing,450
fQN7-j_pSDE,10,30,300,30,validation,300
SC6KctD5Wd4,10,30,300,30,training,300
x94l9ldCPqs,10,30,300,30,training,300
cwcT-d1QX-k,13,29,377,29,validation,377
Xf2cXVtJTD4,24,30,720,30,training,720
O0P_kkhKacs,23,29,667,29,testing,667
KaW2shcqycA,125,29,3625,29,testing,3625
dU1dorAeHXo,18,30,540,30,training,540
DTF15pzLtfE,10,25,250,25,training,250
V0z688T1vuo,144,30,4320,30,validation,4320
iLWTZQ_bXwY,10,29,290,29,training,290
rct-PI-KpSA,10,23,230,23,training,230
0rB4VgyZvdk,10,30,300,30,validation,300
hkhc-yd7Dmc,48,29,1392,29,training,1392
v8sqR8C81ak,50,30,1500,30,validation,1500
w24kxs83rB0,26,30,780,30,training,780
i1DJgjh2FKM,10,29,290,29,training,290
niGug3nYBH4,10,29,290,29,training,290
jVn4647lEX0,10,30,300,30,training,300
RPQuCn56Y6I,10,30,300,30,testing,300
saEtHHLBSxM,10,29,290,29,training,290
Y0pWiEpvRv0,10,29,290,29,training,290
Cye_WmDqTIQ,35,29,1015,29,training,1015
DiiIMQLjipU,10,30,300,30,testing,300
wENnDNHfYTs,10,30,300,30,validation,300
eCOcUYGnl38,10,30,300,30,testing,300
mBQ3cv3Dde0,10,9,90,9,training,90
t16bY1Aft0g,15,30,450,30,training,450
S5VXFNThH1A,11,25,275,25,training,275
E7mNrEqzMhg,10,30,300,30,training,300
u224Twe1LFs,10,25,250,25,testing,250
XhgpFhFKrWw,10,29,290,29,validation,290
zFJ8PZZJBHY,10,30,300,30,training,300
KelF_RGE5Ks,10,18,180,18,training,180
wvppZIq6OOs,10,29,290,29,validation,290
nsZTvjGB120,10,29,290,29,training,290
CXH-Wg1RTCE,10,30,300,30,training,300
LTa6bFlUZNk,10,30,300,30,validation,300
WMAJpLIeN48,10,29,290,29,training,290
8GgQ2l7q3vA,115,29,3335,29,training,3335
gABsvFR9gBc,23,25,575,25,validation,575
ydYzYp8oA74,17,23,391,23,testing,391
LLsuh0Z-czA,179,30,5370,30,training,5370
-hmVsNcsug4,10,30,300,30,training,300
mHJ5Cg7AZFE,11,15,165,15,testing,165
KK4wIM1pMc4,12,29,348,29,training,348
X34yhILzwLA,11,30,330,30,training,330
vh6179NeAAQ,10,29,290,29,training,290
Uf6iOvzb_IU,10,29,290,29,validation,290
ndXAbw9NTgg,10,30,300,30,training,300
1T6Nph_ZsG8,10,29,290,29,validation,290
XPnxJevjD7Y,10,24,240,24,training,240
8JbW_YyVB-A,10,30,300,30,training,300
5n50SvNbzqw,11,24,264,24,training,264
df9quOvOnGs,10,29,290,29,validation,290
3qfy84M5I68,10,25,250,25,training,250
J_Cg2SBDWPM,11,29,319,29,training,319
hawcLRkWltE,28,8,224,8,validation,224
TEjp7kYD-sc,11,30,330,30,training,330
Y8237eE-6cM,11,30,330,30,training,330
_r2BGb6annY,11,30,330,30,training,330
Gc3Aje1aBX0,124,29,3596,29,training,3596
UNf_30kiADs,104,29,3016,29,training,3016
tSXwIhNKuyE,114,25,2850,25,training,2850
wbQVKFzo8xw,101,10,1010,10,training,1010
OfvlFou9vyE,173,25,4325,25,training,4325
0ggJ627z4jU,117,25,2925,25,training,2925
aCc78OlCde8,100,30,3000,30,training,3000
o5P0afA4dKI,100,30,3000,30,training,3000
7O7pYs0Q6Vg,100,25,2500,25,training,2500
URw32kH4wpY,102,30,3060,30,training,3060
1ddrug5cEoA,135,25,3375,25,validation,3375
pEPkgqLiw5M,106,29,3074,29,training,3074
ItAyHCSK5ds,116,29,3364,29,validation,3364
6O20FF06BUY,100,29,2900,29,training,2900
6LVojBJLKqs,100,29,2900,29,validation,2900
stYxF7w_xyA,103,30,3090,30,validation,3090
28-qrodY5X8,100,29,2900,29,training,2900
AZw8DHGKqBU,108,29,3132,29,testing,3132
1hkX6E9-yhY,100,29,2900,29,training,2900
artbiBSOVN8,100,29,2900,29,training,2900
tQHO35sH81I,222,30,6660,30,training,6660
ijHn9BTe40o,101,25,2525,25,validation,2525
MrX3jo47uqY,232,30,6960,30,training,6960
vQ3Zpesb13Y,100,30,3000,30,testing,3000
WMKKcU-iNXk,103,25,2575,25,training,2575
8kPjYSEYUhA,100,25,2500,25,training,2500
jqdDXoH7AXg,339,30,10170,30,training,10170
wXtxZcryDdo,102,29,2958,29,training,2958
n12EjqVWMkc,101,25,2525,25,training,2525
LCp3l462YMY,101,29,2929,29,training,2929
z5rNP5Yo4uc,101,25,2525,25,training,2525
